. Sequence file : [Hominid_AHSG.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-13635.47916	Yes        	4        	1.063    	0.201    	 0.28349   0.23078   0.24331   0.24242	-0.91739   0.10501   0.73476   0.07761  
      	     	          	           	          	           	             	                                      	 0.12900  -0.98280   0.12352   0.73029  
      	     	          	           	          	           	             	                                      	 0.85611   0.11716  -1.14953   0.17626  
      	     	          	           	          	           	             	                                      	 0.09076   0.69524   0.17691  -0.96291  
  #2	4   	-13968.69613	Yes        	4        	1.426    	0.203    	 0.27650   0.23838   0.23808   0.24704	-0.89481   0.16311   0.66072   0.07098  
      	     	          	           	          	           	             	                                      	 0.18919  -1.05347   0.18311   0.68117  
      	     	          	           	          	           	             	                                      	 0.76732   0.18333  -1.14624   0.19559  
      	     	          	           	          	           	             	                                      	 0.07944   0.65727   0.18849  -0.92520  
  #3	4   	-13597.00355	Yes        	4        	382.584    	0.220    	 0.27725   0.22201   0.25334   0.24741	-0.95708   0.14734   0.75001   0.05973  
      	     	          	           	          	           	             	                                      	 0.18400  -1.03627   0.22170   0.63056  
      	     	          	           	          	           	             	                                      	 0.82078   0.19428  -1.19445   0.17939  
      	     	          	           	          	           	             	                                      	 0.06693   0.56582   0.18369  -0.81644  
  #4	4   	-13598.22797	Yes        	4        	0.770    	0.198    	 0.27813   0.22736   0.24842   0.24609	-0.90528   0.17575   0.65947   0.07007  
      	     	          	           	          	           	             	                                      	 0.21499  -1.06495   0.12724   0.72273  
      	     	          	           	          	           	             	                                      	 0.73832   0.11645  -1.07603   0.22125  
      	     	          	           	          	           	             	                                      	 0.07919   0.66774   0.22336  -0.97029  
  #5	4   	-13644.35391	Yes        	4        	382.584    	0.221    	 0.27248   0.24104   0.24490   0.24158	-0.91393   0.16204   0.70760   0.04430  
      	     	          	           	          	           	             	                                      	 0.18318  -1.06890   0.18758   0.69814  
      	     	          	           	          	           	             	                                      	 0.78731   0.18463  -1.12495   0.15302  
      	     	          	           	          	           	             	                                      	 0.04997   0.69657   0.15512  -0.90166  
  #6	4   	-13750.83235	Yes        	4        	618.416    	0.200    	 0.28191   0.22888   0.24572   0.24349	-0.91889   0.16460   0.68973   0.06456  
      	     	          	           	          	           	             	                                      	 0.20274  -0.98801   0.14155   0.64372  
      	     	          	           	          	           	             	                                      	 0.79130   0.13185  -1.17231   0.24917  
      	     	          	           	          	           	             	                                      	 0.07474   0.60508   0.25146  -0.93128  
  #7	4   	-13596.95989	Yes        	4        	618.416    	0.198    	 0.26706   0.24300   0.24878   0.24115	-0.89915   0.14405   0.70390   0.05120  
      	     	          	           	          	           	             	                                      	 0.15831  -0.98668   0.16143   0.66694  
      	     	          	           	          	           	             	                                      	 0.75565   0.15768  -1.14877   0.23543  
      	     	          	           	          	           	             	                                      	 0.05670   0.67206   0.24287  -0.97163  
  #8	4   	-13806.09701	Yes        	4        	1.046    	0.200    	 0.26980   0.24301   0.23483   0.25236	-0.87055   0.12560   0.67224   0.07272  
      	     	          	           	          	           	             	                                      	 0.13944  -1.02051   0.12556   0.75551  
      	     	          	           	          	           	             	                                      	 0.77232   0.12993  -1.11951   0.21726  
      	     	          	           	          	           	             	                                      	 0.07774   0.72751   0.20217  -1.00743  
  #9	4   	-13561.76245	Yes        	4        	618.416    	0.199    	 0.28258   0.22235   0.24472   0.25035	-0.88304   0.13241   0.70107   0.04956  
      	     	          	           	          	           	             	                                      	 0.16828  -1.00962   0.12016   0.72118  
      	     	          	           	          	           	             	                                      	 0.80953   0.10918  -1.17778   0.25908  
      	     	          	           	          	           	             	                                      	 0.05594   0.64049   0.25325  -0.94969  
  #10	4   	-13623.28801	Yes        	4        	618.416    	0.199    	 0.27988   0.23221   0.24416   0.24375	-0.85867   0.15921   0.63632   0.06315  
      	     	          	           	          	           	             	                                      	 0.19188  -1.07547   0.16005   0.72354  
      	     	          	           	          	           	             	                                      	 0.72941   0.15222  -1.10482   0.22320  
      	     	          	           	          	           	             	                                      	 0.07251   0.68930   0.22357  -0.98538  
  #11	4   	-13466.74709	Yes        	4        	0.959    	0.200    	 0.27645   0.22858   0.24234   0.25263	-0.90136   0.15792   0.70924   0.03420  
      	     	          	           	          	           	             	                                      	 0.19099  -1.10931   0.14190   0.77643  
      	     	          	           	          	           	             	                                      	 0.80906   0.13384  -1.11171   0.16880  
      	     	          	           	          	           	             	                                      	 0.03742   0.70253   0.16193  -0.90188  
  #12	4   	-13674.25160	Yes        	4        	881.773    	0.175    	 0.28345   0.23445   0.24725   0.23486	-0.77341   0.10484   0.63284   0.03573  
      	     	          	           	          	           	             	                                      	 0.12676  -1.05623   0.20098   0.72850  
      	     	          	           	          	           	             	                                      	 0.72549   0.19057  -1.17033   0.25427  
      	     	          	           	          	           	             	                                      	 0.04312   0.72722   0.26769  -1.03802  
  #13	4   	-13819.88075	Yes        	4        	618.416    	0.181    	 0.27791   0.23988   0.23549   0.24671	-0.95304   0.10712   0.76999   0.07593  
      	     	          	           	          	           	             	                                      	 0.12411  -0.88487   0.14313   0.61763  
      	     	          	           	          	           	             	                                      	 0.90869   0.14579  -1.27804   0.22355  
      	     	          	           	          	           	             	                                      	 0.08553   0.60052   0.21339  -0.89944  
  #14	4   	-13723.43667	Yes        	4        	1.288    	0.202    	 0.27947   0.23800   0.23237   0.25016	-0.90323   0.19178   0.65187   0.05959  
      	     	          	           	          	           	             	                                      	 0.22519  -1.02684   0.12528   0.67637  
      	     	          	           	          	           	             	                                      	 0.78402   0.12832  -1.15668   0.24434  
      	     	          	           	          	           	             	                                      	 0.06657   0.64350   0.22696  -0.93703  
  #15	4   	-13730.74521	Yes        	4        	382.584    	0.202    	 0.28146   0.23759   0.24478   0.23617	-0.89498   0.11173   0.72475   0.05850  
      	     	          	           	          	           	             	                                      	 0.13236  -0.93660   0.15874   0.64551  
      	     	          	           	          	           	             	                                      	 0.83336   0.15408  -1.22038   0.23294  
      	     	          	           	          	           	             	                                      	 0.06972   0.64938   0.24143  -0.96053  
  #16	4   	-13546.10753	Yes        	4        	618.416    	0.198    	 0.27691   0.23545   0.23984   0.24781	-0.88812   0.13756   0.66182   0.08874  
      	     	          	           	          	           	             	                                      	 0.16178  -1.01915   0.16710   0.69027  
