. Sequence file : [Hominid_ALB.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-27708.29614	Yes        	4        	0.413    	0.190    	 0.30034   0.17373   0.18598   0.33994	-0.89536   0.11892   0.65206   0.12438  
      	     	          	           	          	           	             	                                      	 0.20559  -1.26941   0.26917   0.79465  
      	     	          	           	          	           	             	                                      	 1.05303   0.25145  -1.55323   0.24874  
      	     	          	           	          	           	             	                                      	 0.10989   0.40612   0.13608  -0.65210  
  #2	4   	-27749.96448	Yes        	4        	0.137    	0.161    	 0.30934   0.16939   0.18480   0.33648	-0.83635   0.11715   0.62593   0.09327  
      	     	          	           	          	           	             	                                      	 0.21394  -1.39465   0.27536   0.90534  
      	     	          	           	          	           	             	                                      	 1.04773   0.25239  -1.52357   0.22345  
      	     	          	           	          	           	             	                                      	 0.08575   0.45576   0.12272  -0.66423  
  #3	4   	-27384.41334	Yes        	4        	1.143    	0.201    	 0.30791   0.17155   0.17741   0.34313	-0.74976   0.09237   0.55873   0.09866  
      	     	          	           	          	           	             	                                      	 0.16579  -1.49567   0.29383   1.03605  
      	     	          	           	          	           	             	                                      	 0.96975   0.28413  -1.48501   0.23112  
      	     	          	           	          	           	             	                                      	 0.08853   0.51797   0.11949  -0.72600  
  #4	4   	-27475.22735	Yes        	4        	1.191    	0.201    	 0.30093   0.17457   0.18820   0.33629	-0.81817   0.11009   0.59303   0.11505  
      	     	          	           	          	           	             	                                      	 0.18977  -1.44921   0.31297   0.94647  
      	     	          	           	          	           	             	                                      	 0.94825   0.29031  -1.41880   0.18024  
      	     	          	           	          	           	             	                                      	 0.10295   0.49132   0.10087  -0.69514  
  #5	4   	-27807.91736	Yes        	4        	0.948    	0.200    	 0.30679   0.16859   0.18734   0.33727	-0.86987   0.14180   0.62713   0.10094  
      	     	          	           	          	           	             	                                      	 0.25803  -1.36609   0.27311   0.83494  
      	     	          	           	          	           	             	                                      	 1.02698   0.24578  -1.52002   0.24726  
      	     	          	           	          	           	             	                                      	 0.09182   0.41736   0.13734  -0.64652  
  #6	4   	-27758.27663	Yes        	4        	0.398    	0.236    	 0.30283   0.17212   0.18392   0.34113	-0.89191   0.11241   0.66558   0.11391  
      	     	          	           	          	           	             	                                      	 0.19778  -1.32238   0.24139   0.88321  
      	     	          	           	          	           	             	                                      	 1.09593   0.22591  -1.51940   0.19756  
      	     	          	           	          	           	             	                                      	 0.10112   0.44564   0.10651  -0.65327  
  #7	4   	-27525.91254	Yes        	4        	0.343    	0.206    	 0.30497   0.17018   0.18642   0.33843	-0.87720   0.09316   0.67869   0.10534  
      	     	          	           	          	           	             	                                      	 0.16695  -1.25042   0.21104   0.87243  
      	     	          	           	          	           	             	                                      	 1.11031   0.19266  -1.56099   0.25802  
      	     	          	           	          	           	             	                                      	 0.09493   0.43868   0.14212  -0.67574  
  #8	4   	-27768.13303	Yes        	4        	0.426    	0.190    	 0.31019   0.17506   0.17895   0.33580	-0.76820   0.09588   0.55867   0.11366  
      	     	          	           	          	           	             	                                      	 0.16988  -1.41588   0.29634   0.94966  
      	     	          	           	          	           	             	                                      	 0.96835   0.28990  -1.50180   0.24355  
      	     	          	           	          	           	             	                                      	 0.10499   0.49510   0.12979  -0.72988  
  #9	4   	-27589.96445	Yes        	4        	0.532    	0.193    	 0.30856   0.17349   0.17600   0.34195	-0.81470   0.12224   0.60402   0.08844  
      	     	          	           	          	           	             	                                      	 0.21741  -1.38036   0.22013   0.94282  
      	     	          	           	          	           	             	                                      	 1.05894   0.21698  -1.54219   0.26626  
      	     	          	           	          	           	             	                                      	 0.07980   0.47833   0.13705  -0.69517  
  #10	4   	-27226.84965	Yes        	4        	0.309    	0.204    	 0.31055   0.17221   0.18019   0.33705	-0.84088   0.11756   0.62394   0.09938  
      	     	          	           	          	           	             	                                      	 0.21201  -1.33322   0.24204   0.87918  
      	     	          	           	          	           	             	                                      	 1.07532   0.23132  -1.56072   0.25409  
      	     	          	           	          	           	             	                                      	 0.09156   0.44919   0.13584  -0.67659  
  #11	4   	-27428.08411	Yes        	4        	0.556    	0.194    	 0.30110   0.17136   0.18612   0.34141	-0.82766   0.14314   0.60229   0.08222  
      	     	          	           	          	           	             	                                      	 0.25152  -1.51307   0.25032   1.01122  
      	     	          	           	          	           	             	                                      	 0.97436   0.23047  -1.39076   0.18594  
      	     	          	           	          	           	             	                                      	 0.07252   0.50756   0.10137  -0.68144  
  #12	4   	-27551.33362	Yes        	4        	0.585    	0.194    	 0.30466   0.17118   0.18206   0.34210	-0.85376   0.11570   0.61408   0.12398  
      	     	          	           	          	           	             	                                      	 0.20592  -1.41484   0.26187   0.94706  
      	     	          	           	          	           	             	                                      	 1.02764   0.24623  -1.45481   0.18094  
      	     	          	           	          	           	             	                                      	 0.11041   0.47391   0.09629  -0.68061  
  #13	4   	-27289.25675	Yes        	4        	0.403    	0.190    	 0.30582   0.16805   0.18242   0.34371	-0.85358   0.09975   0.64698   0.10686  
      	     	          	           	          	           	             	                                      	 0.18152  -1.33607   0.25360   0.90095  
      	     	          	           	          	           	             	                                      	 1.08466   0.23363  -1.56459   0.24630  
      	     	          	           	          	           	             	                                      	 0.09508   0.44051   0.13072  -0.66631  
