. Sequence file : [Hominid_AMBN.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-24438.98620	Yes        	4        	0.626    	0.195    	 0.31733   0.19321   0.18113   0.30833	-0.74809   0.13618   0.50949   0.10243  
      	     	          	           	          	           	             	                                      	 0.22365  -1.38589   0.18503   0.97722  
      	     	          	           	          	           	             	                                      	 0.89258   0.19737  -1.30002   0.21007  
      	     	          	           	          	           	             	                                      	 0.10542   0.61237   0.12341  -0.84119  
  #2	4   	-24300.00650	Yes        	4        	0.379    	0.209    	 0.31730   0.18740   0.18698   0.30831	-0.75949   0.15465   0.51987   0.08496  
      	     	          	           	          	           	             	                                      	 0.26185  -1.44032   0.19379   0.98468  
      	     	          	           	          	           	             	                                      	 0.88222   0.19423  -1.28056   0.20411  
      	     	          	           	          	           	             	                                      	 0.08744   0.59852   0.12378  -0.80974  
  #3	4   	-24083.62487	Yes        	4        	1.011    	0.200    	 0.31858   0.19284   0.18641   0.30217	-0.78847   0.14916   0.54924   0.09007  
      	     	          	           	          	           	             	                                      	 0.24642  -1.31352   0.14698   0.92012  
      	     	          	           	          	           	             	                                      	 0.93866   0.15205  -1.32155   0.23083  
      	     	          	           	          	           	             	                                      	 0.09496   0.58721   0.14240  -0.82457  
  #4	4   	-24234.47619	Yes        	4        	881.981    	0.167    	 0.31915   0.19137   0.18344   0.30603	-0.84113   0.15332   0.59500   0.09281  
      	     	          	           	          	           	             	                                      	 0.25569  -1.27449   0.14907   0.86973  
      	     	          	           	          	           	             	                                      	 1.03517   0.15551  -1.39010   0.19942  
      	     	          	           	          	           	             	                                      	 0.09679   0.54387   0.11954  -0.76020  
  #5	4   	-24478.43077	Yes        	4        	0.322    	0.210    	 0.31766   0.19265   0.18353   0.30616	-0.80662   0.14104   0.55890   0.10668  
      	     	          	           	          	           	             	                                      	 0.23256  -1.30603   0.16751   0.90596  
      	     	          	           	          	           	             	                                      	 0.96737   0.17584  -1.34459   0.20138  
      	     	          	           	          	           	             	                                      	 0.11069   0.57008   0.12072  -0.80150  
  #6	4   	-24385.31212	Yes        	4        	0.809    	0.198    	 0.32200   0.18804   0.17990   0.31005	-0.78369   0.13247   0.55790   0.09332  
      	     	          	           	          	           	             	                                      	 0.22684  -1.31207   0.17082   0.91441  
      	     	          	           	          	           	             	                                      	 0.99854   0.17854  -1.41934   0.24225  
      	     	          	           	          	           	             	                                      	 0.09692   0.55458   0.14056  -0.79206  
  #7	4   	-24385.23826	Yes        	4        	0.435    	0.191    	 0.31885   0.19306   0.18598   0.30210	-0.77765   0.14417   0.54426   0.08922  
      	     	          	           	          	           	             	                                      	 0.23810  -1.34618   0.18516   0.92292  
      	     	          	           	          	           	             	                                      	 0.93310   0.19220  -1.33026   0.20496  
      	     	          	           	          	           	             	                                      	 0.09417   0.58979   0.12618  -0.81014  
  #8	4   	-24189.53074	Yes        	4        	0.922    	0.199    	 0.32012   0.18727   0.18121   0.31139	-0.77695   0.14512   0.53129   0.10055  
      	     	          	           	          	           	             	                                      	 0.24806  -1.40430   0.24181   0.91444  
      	     	          	           	          	           	             	                                      	 0.93859   0.24991  -1.38023   0.19174  
      	     	          	           	          	           	             	                                      	 0.10336   0.54995   0.11158  -0.76489  
  #9	4   	-24349.91765	Yes        	4        	0.450    	0.192    	 0.32023   0.19054   0.17936   0.30987	-0.81331   0.10457   0.58959   0.11914  
      	     	          	           	          	           	             	                                      	 0.17575  -1.23793   0.14328   0.91889  
      	     	          	           	          	           	             	                                      	 1.05263   0.15220  -1.41209   0.20726  
      	     	          	           	          	           	             	                                      	 0.12312   0.56502   0.11997  -0.80810  
  #10	4   	-24353.72145	Yes        	4        	0.571    	0.194    	 0.31651   0.19236   0.18054   0.31059	-0.81318   0.16095   0.56216   0.09007  
      	     	          	           	          	           	             	                                      	 0.26482  -1.28393   0.18200   0.83711  
      	     	          	           	          	           	             	                                      	 0.98556   0.19392  -1.43749   0.25801  
      	     	          	           	          	           	             	                                      	 0.09179   0.51847   0.14998  -0.76023  
  #11	4   	-24177.95443	Yes        	4        	0.655    	0.197    	 0.31434   0.19335   0.18094   0.31138	-0.77678   0.12557   0.56170   0.08951  
      	     	          	           	          	           	             	                                      	 0.20416  -1.31963   0.17865   0.93682  
      	     	          	           	          	           	             	                                      	 0.97585   0.19090  -1.38867   0.22192  
      	     	          	           	          	           	             	                                      	 0.09036   0.58171   0.12896  -0.80103  
  #12	4   	-24150.63972	Yes        	4        	0.299    	0.208    	 0.32412   0.19417   0.17808   0.30364	-0.76295   0.16363   0.51062   0.08870  
      	     	          	           	          	           	             	                                      	 0.27313  -1.35275   0.12677   0.95284  
      	     	          	           	          	           	             	                                      	 0.92936   0.13823  -1.30954   0.24195  
      	     	          	           	          	           	             	                                      	 0.09468   0.60933   0.14190  -0.84592  
  #13	4   	-24337.10400	Yes        	4        	0.704    	0.197    	 0.32588   0.18576   0.17610   0.31225	-0.78016   0.13685   0.55968   0.08364  
      	     	          	           	          	           	             	                                      	 0.24007  -1.35053   0.20495   0.90552  
      	     	          	           	          	           	             	                                      	 1.03570   0.21620  -1.47606   0.22416  
      	     	          	           	          	           	             	                                      	 0.08729   0.53870   0.12642  -0.75241  
  #14	4   	-24070.70327	Yes        	4        	0.269    	0.209    	 0.31996   0.19144   0.18356   0.30504	-0.83295   0.14359   0.60261   0.08675  
      	     	          	           	          	           	             	                                      	 0.23999  -1.27977   0.13758   0.90221  
      	     	          	           	          	           	             	                                      	 1.05042   0.14348  -1.38150   0.18759  
      	     	          	           	          	           	             	                                      	 0.09099   0.56621   0.11288  -0.77008  
  #15	4   	-24365.23589	Yes        	4        	6.216    	0.199    	 0.31643   0.19185   0.17951   0.31221	-0.80468   0.16691   0.53265   0.10512  
      	     	          	           	          	           	             	                                      	 0.27530  -1.34719   0.14068   0.93120  
      	     	          	           	          	           	             	                                      	 0.93893   0.15035  -1.31063   0.22135  
      	     	          	           	          	           	             	                                      	 0.10654   0.57221   0.12727  -0.80601  
  #16	4   	-24239.30664	Yes        	4        	0.377    	0.209    	 0.32980   0.18963   0.17619   0.30438	-0.78009   0.14029   0.54269   0.09711  
      	     	          	           	          	           	             	                                      	 0.24398  -1.26791   0.14026   0.88367  
      	     	          	           	          	           	             	                                      	 1.01586   0.15096  -1.44239   0.27557  
      	     	          	           	          	           	             	                                      	 0.10523   0.55055   0.15951  -0.81529  
  #17	4   	-24073.38893	Yes        	4        	2.499    	0.197    	 0.32739   0.19304   0.17334   0.30623	-0.78092   0.13807   0.53437   0.10849  
      	     	          	           	          	           	             	                                      	 0.23416  -1.29652   0.19992   0.86244  
      	     	          	           	          	           	             	                                      	 1.00930   0.22264  -1.45842   0.22647  
      	     	          	           	          	           	             	                                      	 0.11598   0.54365   0.12819  -0.78782  
  #18	4   	-24335.19651	Yes        	4        	0.709    	0.197    	 0.31865   0.19097   0.18343   0.30696	-0.75755   0.12724   0.52829   0.10202  
      	     	          	           	          	           	             	                                      	 0.21230  -1.34844   0.16233   0.97381  
      	     	          	           	          	           	             	                                      	 0.91774   0.16901  -1.31376   0.22701  
      	     	          	           	          	           	             	                                      	 0.10590   0.60586   0.13565  -0.84741  
  #19	4   	-24062.34504	Yes        	4        	1.996    	0.184    	 0.32469   0.19377   0.17715   0.30439	-0.79912   0.13465   0.59443   0.07004  
      	     	          	           	          	           	             	                                      	 0.22562  -1.30336   0.19102   0.88671  
      	     	          	           	          	           	             	                                      	 1.08951   0.20895  -1.47740   0.17894  
      	     	          	           	          	           	             	                                      	 0.07471   0.56447   0.10414  -0.74332  
  #20	4   	-24120.05813	Yes        	4        	0.737    	0.198    	 0.31853   0.18935   0.18081   0.31132	-0.81229   0.10952   0.59186   0.11092  
      	     	          	           	          	           	             	                                      	 0.18424  -1.24299   0.15368   0.90507  
      	     	          	           	          	           	             	                                      	 1.04268   0.16094  -1.42922   0.22560  
      	     	          	           	          	           	             	                                      	 0.11349   0.55048   0.13102  -0.79498  
  #21	4   	-24323.33422	Yes        	4        	0.678    	0.197    	 0.32117   0.19332   0.17841   0.30710	-0.78553   0.13911   0.57227   0.07414  
      	     	          	           	          	           	             	                                      	 0.23112  -1.32075   0.21079   0.87884  
      	     	          	           	          	           	             	                                      	 1.03019   0.22840  -1.46633   0.20775  
      	     	          	           	          	           	             	                                      	 0.07754   0.55323   0.12069  -0.75147  
  #22	4   	-24311.55147	Yes        	4        	0.769    	0.198    	 0.31625   0.19750   0.17475   0.31150	-0.78342   0.14448   0.55748   0.08146  
      	     	          	           	          	           	             	                                      	 0.23134  -1.33572   0.13788   0.96651  
      	     	          	           	          	           	             	                                      	 1.00887   0.15583  -1.35998   0.19528  
      	     	          	           	          	           	             	                                      	 0.08270   0.61281   0.10955  -0.80507  
  #23	4   	-24380.28758	Yes        	4        	0.527    	0.193    	 0.31497   0.19814   0.17922   0.30768	-0.82777   0.13951   0.60044   0.08782  
      	     	          	           	          	           	             	                                      	 0.22177  -1.23628   0.13856   0.87594  
      	     	          	           	          	           	             	                                      	 1.05527   0.15319  -1.42199   0.21354  
      	     	          	           	          	           	             	                                      	 0.08990   0.56408   0.12438  -0.77836  
