. Sequence file : [Hominid_AMELX.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-11335.02127	Yes        	4        	0.550    	0.195    	 0.30762   0.21557   0.16871   0.30810	-0.71389   0.17682   0.45545   0.08162  
      	     	          	           	          	           	             	                                      	 0.25232  -1.42509   0.26001   0.91275  
      	     	          	           	          	           	             	                                      	 0.83044   0.33224  -1.32615   0.16347  
      	     	          	           	          	           	             	                                      	 0.08149   0.63864   0.08951  -0.80964  
  #2	4   	-11314.24992	Yes        	4        	618.416    	0.168    	 0.31017   0.19790   0.17683   0.31510	-0.69978   0.10572   0.49644   0.09762  
      	     	          	           	          	           	             	                                      	 0.16569  -1.47854   0.18012   1.13274  
      	     	          	           	          	           	             	                                      	 0.87077   0.20158  -1.20317   0.13083  
      	     	          	           	          	           	             	                                      	 0.09610   0.71143   0.07342  -0.88094  
  #3	4   	-11468.52029	Yes        	4        	382.584    	0.203    	 0.30305   0.20376   0.17913   0.31407	-0.69758   0.09943   0.48448   0.11367  
      	     	          	           	          	           	             	                                      	 0.14788  -1.38451   0.23649   1.00014  
      	     	          	           	          	           	             	                                      	 0.81964   0.26901  -1.29314   0.20449  
      	     	          	           	          	           	             	                                      	 0.10968   0.64885   0.11663  -0.87516  
  #4	4   	-11405.62208	Yes        	4        	882.457    	0.131    	 0.30175   0.20475   0.18382   0.30967	-0.76927   0.14377   0.52817   0.09733  
      	     	          	           	          	           	             	                                      	 0.21187  -1.38758   0.23605   0.93966  
      	     	          	           	          	           	             	                                      	 0.86703   0.26293  -1.27759   0.14763  
      	     	          	           	          	           	             	                                      	 0.09485   0.62130   0.08763  -0.80379  
  #5	4   	-11391.53749	Yes        	4        	618.416    	0.160    	 0.30965   0.20697   0.17619   0.30719	-0.65269   0.10861   0.42795   0.11612  
      	     	          	           	          	           	             	                                      	 0.16249  -1.48318   0.32222   0.99847  
      	     	          	           	          	           	             	                                      	 0.75212   0.37851  -1.26998   0.13935  
      	     	          	           	          	           	             	                                      	 0.11705   0.67272   0.07993  -0.86970  
  #6	4   	-11268.40859	Yes        	4        	0.394    	0.192    	 0.29175   0.22212   0.18857   0.29756	-0.78955   0.16665   0.50457   0.11833  
      	     	          	           	          	           	             	                                      	 0.21889  -1.27826   0.24596   0.81341  
      	     	          	           	          	           	             	                                      	 0.78067   0.28972  -1.25251   0.18212  
      	     	          	           	          	           	             	                                      	 0.11602   0.60718   0.11541  -0.83861  
  #7	4   	-11319.84731	Yes        	4        	618.416    	0.167    	 0.30945   0.20946   0.17299   0.30810	-0.74818   0.13182   0.53231   0.08405  
      	     	          	           	          	           	             	                                      	 0.19475  -1.36317   0.21843   0.94999  
      	     	          	           	          	           	             	                                      	 0.95221   0.26448  -1.35394   0.13725  
      	     	          	           	          	           	             	                                      	 0.08442   0.64583   0.07706  -0.80731  
  #8	4   	-11238.33968	Yes        	4        	382.584    	0.215    	 0.30877   0.20264   0.17680   0.31179	-0.72864   0.07373   0.53095   0.12397  
      	     	          	           	          	           	             	                                      	 0.11234  -1.34460   0.27106   0.96120  
      	     	          	           	          	           	             	                                      	 0.92724   0.31067  -1.38110   0.14318  
      	     	          	           	          	           	             	                                      	 0.12277   0.62470   0.08119  -0.82866  
  #9	4   	-11290.29839	Yes        	4        	618.416    	0.178    	 0.30474   0.20611   0.17818   0.31098	-0.72418   0.11350   0.49859   0.11209  
      	     	          	           	          	           	             	                                      	 0.16781  -1.40448   0.19327   1.04340  
      	     	          	           	          	           	             	                                      	 0.85276   0.22356  -1.21342   0.13710  
      	     	          	           	          	           	             	                                      	 0.10984   0.69154   0.07855  -0.87993  
  #10	4   	-11372.17996	Yes        	4        	618.416    	0.166    	 0.30218   0.20660   0.17918   0.31205	-0.82163   0.15487   0.53597   0.13078  
      	     	          	           	          	           	             	                                      	 0.22652  -1.26532   0.27491   0.76389  
      	     	          	           	          	           	             	                                      	 0.90389   0.31698  -1.42798   0.20711  
      	     	          	           	          	           	             	                                      	 0.12664   0.50575   0.11892  -0.75132  
  #11	4   	-11162.26711	Yes        	4        	618.416    	0.197    	 0.31797   0.20417   0.17068   0.30719	-0.74803   0.09998   0.55727   0.09078  
      	     	          	           	          	           	             	                                      	 0.15570  -1.27237   0.26263   0.85404  
