. Sequence file : [Hominid_AMELY.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-77659.13375	Yes        	4        	1.095    	0.200    	 0.29654   0.20703   0.20769   0.28874	-0.79598   0.14754   0.55224   0.09620  
      	     	          	           	          	           	             	                                      	 0.21133  -1.29384   0.26162   0.82089  
      	     	          	           	          	           	             	                                      	 0.78852   0.26079  -1.24115   0.19184  
      	     	          	           	          	           	             	                                      	 0.09880   0.58860   0.13799  -0.82539  
  #2	4   	-77794.60737	Yes        	4        	1.514    	0.185    	 0.29588   0.20373   0.20657   0.29382	-0.77169   0.13709   0.53270   0.10190  
      	     	          	           	          	           	             	                                      	 0.19909  -1.31639   0.25755   0.85976  
      	     	          	           	          	           	             	                                      	 0.76302   0.25401  -1.23022   0.21319  
      	     	          	           	          	           	             	                                      	 0.10262   0.59616   0.14989  -0.84866  
  #3	4   	-77669.32863	Yes        	4        	1.263    	0.200    	 0.29989   0.20747   0.20318   0.28947	-0.74876   0.15446   0.49548   0.09883  
      	     	          	           	          	           	             	                                      	 0.22326  -1.33087   0.24046   0.86715  
      	     	          	           	          	           	             	                                      	 0.73132   0.24554  -1.20159   0.22474  
      	     	          	           	          	           	             	                                      	 0.10238   0.62152   0.15774  -0.88164  
  #4	4   	-77848.47467	Yes        	4        	1.816    	0.187    	 0.29767   0.20740   0.20594   0.28899	-0.79706   0.15577   0.53093   0.11036  
      	     	          	           	          	           	             	                                      	 0.22357  -1.28168   0.24341   0.81469  
      	     	          	           	          	           	             	                                      	 0.76742   0.24513  -1.22276   0.21021  
      	     	          	           	          	           	             	                                      	 0.11367   0.58467   0.14980  -0.84814  
  #5	4   	-78039.07859	Yes        	4        	1.136    	0.200    	 0.29728   0.20499   0.20414   0.29359	-0.74986   0.14353   0.49357   0.11276  
      	     	          	           	          	           	             	                                      	 0.20816  -1.33767   0.24701   0.88249  
      	     	          	           	          	           	             	                                      	 0.71876   0.24803  -1.18992   0.22313  
      	     	          	           	          	           	             	                                      	 0.11418   0.61615   0.15514  -0.88547  
  #6	4   	-77826.86618	Yes        	4        	0.682    	0.179    	 0.29331   0.20655   0.20671   0.29342	-0.79274   0.15522   0.52684   0.11068  
      	     	          	           	          	           	             	                                      	 0.22040  -1.34302   0.22290   0.89971  
      	     	          	           	          	           	             	                                      	 0.74754   0.22273  -1.14251   0.17224  
      	     	          	           	          	           	             	                                      	 0.11063   0.63335   0.12134  -0.86532  
  #7	4   	-78163.57476	Yes        	4        	3.199    	0.219    	 0.29788   0.20928   0.20580   0.28703	-0.76138   0.16056   0.49120   0.10962  
      	     	          	           	          	           	             	                                      	 0.22854  -1.33638   0.26561   0.84223  
      	     	          	           	          	           	             	                                      	 0.71097   0.27010  -1.18197   0.20090  
      	     	          	           	          	           	             	                                      	 0.11376   0.61410   0.14405  -0.87190  
  #8	4   	-77692.58711	Yes        	4        	1.248    	0.179    	 0.29697   0.20720   0.20567   0.29016	-0.82638   0.16331   0.54676   0.11632  
      	     	          	           	          	           	             	                                      	 0.23406  -1.27506   0.22740   0.81359  
      	     	          	           	          	           	             	                                      	 0.78950   0.22910  -1.20772   0.18911  
      	     	          	           	          	           	             	                                      	 0.11905   0.58097   0.13404  -0.83405  
  #9	4   	-77464.80108	Yes        	4        	1.242    	0.199    	 0.29458   0.20566   0.20586   0.29389	-0.77550   0.16119   0.50326   0.11105  
      	     	          	           	          	           	             	                                      	 0.23088  -1.35052   0.25172   0.86792  
      	     	          	           	          	           	             	                                      	 0.72015   0.25147  -1.17219   0.20057  
      	     	          	           	          	           	             	                                      	 0.11131   0.60734   0.14049  -0.85914  
  #10	4   	-77667.33396	Yes        	4        	0.973    	0.200    	 0.29490   0.20647   0.20802   0.29062	-0.81847   0.15957   0.53384   0.12506  
      	     	          	           	          	           	             	                                      	 0.22792  -1.29564   0.22547   0.84226  
      	     	          	           	          	           	             	                                      	 0.75681   0.22379  -1.16415   0.18356  
      	     	          	           	          	           	             	                                      	 0.12690   0.59839   0.13139  -0.85667  
  #11	4   	-77996.24557	Yes        	4        	1.094    	0.199    	 0.29451   0.20847   0.20547   0.29154	-0.78218   0.14504   0.52795   0.10918  
      	     	          	           	          	           	             	                                      	 0.20491  -1.29750   0.25879   0.83380  
      	     	          	           	          	           	             	                                      	 0.75674   0.26257  -1.22306   0.20375  
      	     	          	           	          	           	             	                                      	 0.11029   0.59622   0.14360  -0.85010  
  #12	4   	-77743.06650	Yes        	4        	1.289    	0.180    	 0.29602   0.20768   0.20369   0.29261	-0.78330   0.13817   0.54235   0.10278  
      	     	          	           	          	           	             	                                      	 0.19695  -1.29155   0.24383   0.85077  
      	     	          	           	          	           	             	                                      	 0.78820   0.24861  -1.23712   0.20031  
      	     	          	           	          	           	             	                                      	 0.10398   0.60383   0.13944  -0.84724  
  #13	4   	-77521.97370	Yes        	4        	1.573    	0.185    	 0.29835   0.20662   0.20449   0.29053	-0.78051   0.15496   0.51602   0.10953  
      	     	          	           	          	           	             	                                      	 0.22376  -1.32088   0.23353   0.86360  
      	     	          	           	          	           	             	                                      	 0.75287   0.23596  -1.18659   0.19777  
      	     	          	           	          	           	             	                                      	 0.11248   0.61418   0.13920  -0.86586  
  #14	4   	-78084.18837	Yes        	4        	1.646    	0.187    	 0.29729   0.20383   0.20822   0.29066	-0.78010   0.13309   0.55286   0.09416  
      	     	          	           	          	           	             	                                      	 0.19411  -1.30121   0.27449   0.83261  
      	     	          	           	          	           	             	                                      	 0.78935   0.26869  -1.26180   0.20375  
      	     	          	           	          	           	             	                                      	 0.09631   0.58387   0.14596  -0.82614  
  #15	4   	-78233.39146	Yes        	4        	1.259    	0.200    	 0.29715   0.20850   0.20655   0.28780	-0.76670   0.14315   0.51154   0.11201  
      	     	          	           	          	           	             	                                      	 0.20401  -1.32634   0.22935   0.89299  
      	     	          	           	          	           	             	                                      	 0.73590   0.23151  -1.15221   0.18480  
      	     	          	           	          	           	             	                                      	 0.11565   0.64693   0.13263  -0.89521  
  #16	4   	-78022.44265	Yes        	4        	1.679    	0.186    	 0.29966   0.21077   0.20517   0.28440	-0.77718   0.15313   0.51679   0.10725  
      	     	          	           	          	           	             	                                      	 0.21772  -1.29283   0.23640   0.83871  
      	     	          	           	          	           	             	                                      	 0.75481   0.24286  -1.19511   0.19744  
      	     	          	           	          	           	             	                                      	 0.11301   0.62157   0.14243  -0.87701  
  #17	4   	-78235.88959	Yes        	4        	2.874    	0.218    	 0.29457   0.20791   0.21046   0.28706	-0.79103   0.15246   0.53704   0.10152  
      	     	          	           	          	           	             	                                      	 0.21601  -1.30185   0.24693   0.83891  
      	     	          	           	          	           	             	                                      	 0.75167   0.24395  -1.19153   0.19591  
      	     	          	           	          	           	             	                                      	 0.10418   0.60759   0.14363  -0.85540  
  #18	4   	-77518.54676	Yes        	4        	1.322    	0.183    	 0.29571   0.20852   0.20610   0.28967	-0.76927   0.14189   0.50976   0.11762  
      	     	          	           	          	           	             	                                      	 0.20122  -1.33537   0.25606   0.87809  
      	     	          	           	          	           	             	                                      	 0.73142   0.25906  -1.16529   0.17481  
      	     	          	           	          	           	             	                                      	 0.12008   0.63208   0.12437  -0.87653  
  #19	4   	-78123.83290	Yes        	4        	1.304    	0.200    	 0.29498   0.20693   0.20846   0.28963	-0.76804   0.14872   0.51489   0.10443  
      	     	          	           	          	           	             	                                      	 0.21200  -1.33432   0.27597   0.84635  
      	     	          	           	          	           	             	                                      	 0.72860   0.27394  -1.20019   0.19765  
      	     	          	           	          	           	             	                                      	 0.10636   0.60468   0.14226  -0.85330  
  #20	4   	-77539.64343	Yes        	4        	0.848    	0.197    	 0.29287   0.20739   0.20863   0.29111	-0.79575   0.15057   0.52570   0.11948  
      	     	          	           	          	           	             	                                      	 0.21263  -1.30505   0.23794   0.85448  
      	     	          	           	          	           	             	                                      	 0.73795   0.23653  -1.16808   0.19360  
      	     	          	           	          	           	             	                                      	 0.12021   0.60875   0.13875  -0.86770  
  #21	4   	-77547.58340	Yes        	4        	3.031    	0.218    	 0.29627   0.20440   0.20582   0.29351	-0.77770   0.16776   0.49755   0.11240  
      	     	          	           	          	           	             	                                      	 0.24316  -1.35314   0.23037   0.87961  
      	     	          	           	          	           	             	                                      	 0.71619   0.22878  -1.15250   0.20753  
      	     	          	           	          	           	             	                                      	 0.11345   0.61255   0.14552  -0.87152  
  #22	4   	-78024.39745	Yes        	4        	1.389    	0.184    	 0.29445   0.20755   0.20230   0.29570	-0.80561   0.15146   0.53997   0.11418  
      	     	          	           	          	           	             	                                      	 0.21488  -1.27410   0.23768   0.82153  
      	     	          	           	          	           	             	                                      	 0.78592   0.24384  -1.24206   0.21230  
      	     	          	           	          	           	             	                                      	 0.11369   0.57663   0.14525  -0.83557  
  #23	4   	-77832.61233	Yes        	4        	0.815    	0.199    	 0.29669   0.20719   0.20856   0.28756	-0.75200   0.15341   0.48999   0.10859  
      	     	          	           	          	           	             	                                      	 0.21968  -1.36068   0.26134   0.87966  
      	     	          	           	          	           	             	                                      	 0.69703   0.25962  -1.15077   0.19413  
      	     	          	           	          	           	             	                                      	 0.11204   0.63381   0.14080  -0.88664  
