. Sequence file : [Hominid_AMTN.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-23377.24200	Yes        	4        	0.358    	0.204    	 0.31802   0.19453   0.18389   0.30357	-0.79709   0.14347   0.53709   0.11652  
      	     	          	           	          	           	             	                                      	 0.23455  -1.34827   0.18418   0.92954  
      	     	          	           	          	           	             	                                      	 0.92885   0.19484  -1.28611   0.16242  
      	     	          	           	          	           	             	                                      	 0.12207   0.59564   0.09838  -0.81609  
  #2	4   	-23121.69592	Yes        	4        	0.268    	0.206    	 0.31902   0.20061   0.17687   0.30350	-0.81321   0.13645   0.55887   0.11790  
      	     	          	           	          	           	             	                                      	 0.21699  -1.23359   0.16995   0.84665  
      	     	          	           	          	           	             	                                      	 1.00802   0.19275  -1.40787   0.20710  
      	     	          	           	          	           	             	                                      	 0.12393   0.55962   0.12069  -0.80424  
  #3	4   	-23207.94644	Yes        	4        	0.589    	0.193    	 0.31817   0.19261   0.18418   0.30504	-0.72594   0.12611   0.51318   0.08664  
      	     	          	           	          	           	             	                                      	 0.20832  -1.42799   0.20620   1.01347  
      	     	          	           	          	           	             	                                      	 0.88651   0.21563  -1.28734   0.18520  
      	     	          	           	          	           	             	                                      	 0.09037   0.63993   0.11182  -0.84212  
  #4	4   	-23215.46269	Yes        	4        	0.756    	0.198    	 0.32465   0.20038   0.17950   0.29548	-0.72227   0.16224   0.47349   0.08655  
      	     	          	           	          	           	             	                                      	 0.26285  -1.40374   0.22354   0.91734  
      	     	          	           	          	           	             	                                      	 0.85639   0.24955  -1.31156   0.20562  
      	     	          	           	          	           	             	                                      	 0.09509   0.62210   0.12491  -0.84210  
  #5	4   	-23060.88589	Yes        	4        	0.421    	0.189    	 0.31746   0.19857   0.17805   0.30592	-0.81808   0.13847   0.57338   0.10622  
      	     	          	           	          	           	             	                                      	 0.22137  -1.22713   0.17808   0.82768  
      	     	          	           	          	           	             	                                      	 1.02233   0.19860  -1.44882   0.22789  
      	     	          	           	          	           	             	                                      	 0.11023   0.53726   0.13264  -0.78013  
  #6	4   	-23208.64168	Yes        	4        	0.367    	0.207    	 0.32080   0.20072   0.17880   0.29967	-0.78480   0.15011   0.53917   0.09552  
      	     	          	           	          	           	             	                                      	 0.23991  -1.30917   0.22971   0.83955  
      	     	          	           	          	           	             	                                      	 0.96737   0.25787  -1.41322   0.18798  
      	     	          	           	          	           	             	                                      	 0.10225   0.56232   0.11216  -0.77674  
