. Sequence file : [Hominid_COL1A2.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-57631.08551	Yes        	4        	4.549    	0.198    	 0.30659   0.19109   0.18577   0.31655	-0.81842   0.11944   0.56793   0.13105  
      	     	          	           	          	           	             	                                      	 0.19162  -1.27704   0.19654   0.88887  
      	     	          	           	          	           	             	                                      	 0.93729   0.20217  -1.36375   0.22429  
      	     	          	           	          	           	             	                                      	 0.12693   0.53660   0.13163  -0.79515  
  #2	4   	-57473.00448	Yes        	4        	1.860    	0.204    	 0.30452   0.18548   0.18668   0.32331	-0.86473   0.09780   0.63707   0.12986  
      	     	          	           	          	           	             	                                      	 0.16056  -1.25451   0.20102   0.89293  
      	     	          	           	          	           	             	                                      	 1.03921   0.19972  -1.41979   0.18085  
      	     	          	           	          	           	             	                                      	 0.12231   0.51227   0.10443  -0.73901  
  #3	4   	-57663.01419	Yes        	4        	1.469    	0.202    	 0.30157   0.19132   0.18562   0.32149	-0.86955   0.11649   0.64134   0.11172  
      	     	          	           	          	           	             	                                      	 0.18362  -1.25296   0.20303   0.86631  
      	     	          	           	          	           	             	                                      	 1.04195   0.20926  -1.42999   0.17877  
      	     	          	           	          	           	             	                                      	 0.10480   0.51555   0.10322  -0.72356  
  #4	4   	-57456.25101	Yes        	4        	382.584    	0.202    	 0.30710   0.18998   0.18633   0.31658	-0.83761   0.12426   0.59252   0.12083  
      	     	          	           	          	           	             	                                      	 0.20086  -1.28778   0.17140   0.91552  
      	     	          	           	          	           	             	                                      	 0.97656   0.17476  -1.34596   0.19464  
      	     	          	           	          	           	             	                                      	 0.11722   0.54942   0.11456  -0.78120  
  #5	4   	-57618.16903	Yes        	4        	0.732    	0.198    	 0.30482   0.18670   0.18785   0.32063	-0.83523   0.10145   0.59765   0.13613  
      	     	          	           	          	           	             	                                      	 0.16564  -1.26323   0.19536   0.90222  
