. Sequence file : [Hominid_ENAM.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-28789.96141	Yes        	4        	0.228    	0.200    	 0.31470   0.19544   0.18475   0.30511	-0.83899   0.09422   0.62594   0.11883  
      	     	          	           	          	           	             	                                      	 0.15171  -1.21270   0.14394   0.91705  
      	     	          	           	          	           	             	                                      	 1.06618   0.15226  -1.37332   0.15488  
      	     	          	           	          	           	             	                                      	 0.12256   0.58742   0.09378  -0.80377  
  #2	4   	-28821.42306	Yes        	4        	0.362    	0.188    	 0.31651   0.19657   0.18570   0.30121	-0.88310   0.10718   0.66659   0.10933  
      	     	          	           	          	           	             	                                      	 0.17257  -1.10352   0.25560   0.67535  
      	     	          	           	          	           	             	                                      	 1.13614   0.27056  -1.60858   0.20189  
      	     	          	           	          	           	             	                                      	 0.11489   0.44073   0.12447  -0.68008  
  #3	4   	-29132.49770	Yes        	4        	0.614    	0.195    	 0.31654   0.20122   0.18339   0.29885	-0.82811   0.12955   0.58065   0.11791  
      	     	          	           	          	           	             	                                      	 0.20380  -1.18872   0.21363   0.77129  
      	     	          	           	          	           	             	                                      	 1.00225   0.23440  -1.45304   0.21639  
      	     	          	           	          	           	             	                                      	 0.12489   0.51932   0.13279  -0.77699  
  #4	4   	-28867.49698	Yes        	4        	0.623    	0.195    	 0.31891   0.19366   0.18255   0.30488	-0.81059   0.11153   0.58094   0.11811  
      	     	          	           	          	           	             	                                      	 0.18367  -1.22615   0.22793   0.81455  
      	     	          	           	          	           	             	                                      	 1.01492   0.24181  -1.47368   0.21695  
      	     	          	           	          	           	             	                                      	 0.12355   0.51741   0.12990  -0.77086  
  #5	4   	-28596.47268	Yes        	4        	0.313    	0.207    	 0.32000   0.20158   0.17925   0.29918	-0.79734   0.10578   0.56819   0.12337  
      	     	          	           	          	           	             	                                      	 0.16792  -1.19840   0.23220   0.79828  
      	     	          	           	          	           	             	                                      	 1.01437   0.26112  -1.48265   0.20716  
      	     	          	           	          	           	             	                                      	 0.13196   0.53785   0.12412  -0.79392  
  #6	4   	-28801.11829	Yes        	4        	0.357    	0.188    	 0.31470   0.20435   0.18389   0.29706	-0.85285   0.11046   0.61043   0.13196  
      	     	          	           	          	           	             	                                      	 0.17010  -1.10404   0.22069   0.71325  
      	     	          	           	          	           	             	                                      	 1.04465   0.24525  -1.51156   0.22166  
      	     	          	           	          	           	             	                                      	 0.13979   0.49065   0.13721  -0.76765  
  #7	4   	-28938.69416	Yes        	4        	0.909    	0.199    	 0.30977   0.19785   0.18662   0.30576	-0.87425   0.09740   0.66024   0.11661  
      	     	          	           	          	           	             	                                      	 0.15250  -1.07943   0.20430   0.72264  
      	     	          	           	          	           	             	                                      	 1.09594   0.21660  -1.55791   0.24537  
      	     	          	           	          	           	             	                                      	 0.11814   0.46760   0.14976  -0.73549  
  #8	4   	-28826.79444	Yes        	4        	1.068    	0.200    	 0.31396   0.20031   0.18416   0.30156	-0.84629   0.13167   0.60613   0.10849  
      	     	          	           	          	           	             	                                      	 0.20638  -1.21683   0.20559   0.80486  
      	     	          	           	          	           	             	                                      	 1.03333   0.22361  -1.43012   0.17318  
      	     	          	           	          	           	             	                                      	 0.11295   0.53462   0.10576  -0.75333  
  #9	4   	-28748.08973	Yes        	4        	0.844    	0.199    	 0.31691   0.20103   0.18123   0.30083	-0.82773   0.10064   0.58453   0.14256  
      	     	          	           	          	           	             	                                      	 0.15865  -1.16208   0.20067   0.80275  
      	     	          	           	          	           	             	                                      	 1.02212   0.22259  -1.44318   0.19848  
      	     	          	           	          	           	             	                                      	 0.15018   0.53643   0.11957  -0.80618  
  #10	4   	-28847.76714	Yes        	4        	0.539    	0.194    	 0.31169   0.19660   0.18518   0.30653	-0.85478   0.10852   0.63021   0.11605  
      	     	          	           	          	           	             	                                      	 0.17205  -1.19032   0.19781   0.82045  
      	     	          	           	          	           	             	                                      	 1.06079   0.21002  -1.45106   0.18025  
      	     	          	           	          	           	             	                                      	 0.11800   0.52621   0.10889  -0.75311  
  #11	4   	-29011.69751	Yes        	4        	0.733    	0.197    	 0.31883   0.19857   0.18712   0.29548	-0.90269   0.10889   0.64507   0.14873  
      	     	          	           	          	           	             	                                      	 0.17482  -1.07821   0.19089   0.71250  
      	     	          	           	          	           	             	                                      	 1.09913   0.20258  -1.47704   0.17533  
      	     	          	           	          	           	             	                                      	 0.16048   0.47883   0.11103  -0.75034  
  #12	4   	-28630.13436	Yes        	4        	0.490    	0.192    	 0.31163   0.20721   0.17999   0.30118	-0.86119   0.06076   0.66161   0.13882  
      	     	          	           	          	           	             	                                      	 0.09138  -1.08133   0.17349   0.81646  
      	     	          	           	          	           	             	                                      	 1.14550   0.19973  -1.49249   0.14725  
      	     	          	           	          	           	             	                                      	 0.14364   0.56172   0.08800  -0.79336  
  #13	4   	-28675.63530	Yes        	4        	0.810    	0.198    	 0.31663   0.19516   0.18393   0.30428	-0.92122   0.11688   0.69098   0.11336  
      	     	          	           	          	           	             	                                      	 0.18962  -1.10421   0.17627   0.73832  
      	     	          	           	          	           	             	                                      	 1.18951   0.18704  -1.53867   0.16213  
      	     	          	           	          	           	             	                                      	 0.11796   0.47356   0.09800  -0.68952  
  #14	4   	-29061.95267	Yes        	4        	0.577    	0.194    	 0.31671   0.19598   0.18131   0.30600	-0.78271   0.12440   0.52142   0.13688  
      	     	          	           	          	           	             	                                      	 0.20103  -1.26969   0.20655   0.86211  
      	     	          	           	          	           	             	                                      	 0.91081   0.22326  -1.36940   0.23534  
      	     	          	           	          	           	             	                                      	 0.14167   0.55216   0.13944  -0.83328  
  #15	4   	-28928.58921	Yes        	4        	0.490    	0.191    	 0.31573   0.20050   0.18477   0.29900	-0.84202   0.10744   0.63716   0.09742  
      	     	          	           	          	           	             	                                      	 0.16919  -1.16913   0.20763   0.79231  
      	     	          	           	          	           	             	                                      	 1.08878   0.22530  -1.49625   0.18218  
      	     	          	           	          	           	             	                                      	 0.10287   0.53129   0.11258  -0.74674  
  #16	4   	-28742.43097	Yes        	4        	0.448    	0.192    	 0.31663   0.19904   0.18743   0.29689	-0.88539   0.13186   0.62795   0.12558  
      	     	          	           	          	           	             	                                      	 0.20975  -1.09336   0.20196   0.68165  
      	     	          	           	          	           	             	                                      	 1.06081   0.21447  -1.50887   0.23359  
      	     	          	           	          	           	             	                                      	 0.13393   0.45698   0.14747  -0.73838  
  #17	4   	-28929.96872	Yes        	4        	1.826    	0.204    	 0.31080   0.19965   0.18987   0.29969	-0.87461   0.13245   0.62655   0.11561  
      	     	          	           	          	           	             	                                      	 0.20619  -1.13686   0.19657   0.73409  
      	     	          	           	          	           	             	                                      	 1.02562   0.20670  -1.45546   0.22314  
      	     	          	           	          	           	             	                                      	 0.11989   0.48904   0.14137  -0.75031  
  #18	4   	-28854.41896	Yes        	4        	0.735    	0.197    	 0.31566   0.20250   0.18528   0.29657	-0.82079   0.09363   0.64015   0.08701  
      	     	          	           	          	           	             	                                      	 0.14595  -1.11548   0.21256   0.75697  
      	     	          	           	          	           	             	                                      	 1.09063   0.23232  -1.56357   0.24062  
      	     	          	           	          	           	             	                                      	 0.09261   0.51687   0.15033  -0.75981  
  #19	4   	-28869.31769	Yes        	4        	0.316    	0.186    	 0.31483   0.19912   0.18747   0.29858	-0.77983   0.10993   0.53863   0.13127  
      	     	          	           	          	           	             	                                      	 0.17382  -1.24930   0.21848   0.85700  
      	     	          	           	          	           	             	                                      	 0.90456   0.23205  -1.35178   0.21517  
      	     	          	           	          	           	             	                                      	 0.13841   0.57152   0.13510  -0.84502  
  #20	4   	-28851.13386	Yes        	4        	0.716    	0.197    	 0.31519   0.20250   0.18252   0.29979	-0.83385   0.10570   0.63269   0.09546  
      	     	          	           	          	           	             	                                      	 0.16451  -1.13382   0.18289   0.78642  
      	     	          	           	          	           	             	                                      	 1.09259   0.20292  -1.51955   0.22404  
      	     	          	           	          	           	             	                                      	 0.10037   0.53121   0.13640  -0.76798  
  #21	4   	-28841.71064	Yes        	4        	0.733    	0.197    	 0.31582   0.20152   0.18191   0.30075	-0.81908   0.09674   0.58597   0.13637  
      	     	          	           	          	           	             	                                      	 0.15161  -1.16530   0.22675   0.78694  
      	     	          	           	          	           	             	                                      	 1.01730   0.25119  -1.47212   0.20363  
      	     	          	           	          	           	             	                                      	 0.14320   0.52729   0.12316  -0.79365  
  #22	4   	-28856.95248	Yes        	4        	0.480    	0.191    	 0.31480   0.19854   0.18532   0.30135	-0.85624   0.10302   0.63297   0.12025  
      	     	          	           	          	           	             	                                      	 0.16335  -1.15220   0.22196   0.76689  
      	     	          	           	          	           	             	                                      	 1.07522   0.23780  -1.49721   0.18420  
      	     	          	           	          	           	             	                                      	 0.12562   0.50524   0.11328  -0.74414  
  #23	4   	-28823.11420	Yes        	4        	0.285    	0.206    	 0.31163   0.20301   0.17905   0.30631	-0.86238   0.11167   0.63693   0.11378  
      	     	          	           	          	           	             	                                      	 0.17142  -1.13936   0.25149   0.71645  
      	     	          	           	          	           	             	                                      	 1.10856   0.28514  -1.58779   0.19410  
      	     	          	           	          	           	             	                                      	 0.11576   0.47484   0.11346  -0.70406  
  #24	4   	-28832.56766	Yes        	4        	3.922    	0.197    	 0.31548   0.20044   0.18408   0.30001	-0.75400   0.07965   0.56043   0.11392  
      	     	          	           	          	           	             	                                      	 0.12536  -1.20729   0.23818   0.84376  
      	     	          	           	          	           	             	                                      	 0.96048   0.25935  -1.46577   0.24594  
      	     	          	           	          	           	             	                                      	 0.11979   0.56372   0.15090  -0.83441  
  #25	4   	-28790.72284	Yes        	4        	0.206    	0.255    	 0.31343   0.20538   0.17983   0.30135	-0.85245   0.09764   0.62612   0.12869  
      	     	          	           	          	           	             	                                      	 0.14901  -1.14622   0.17371   0.82350  
      	     	          	           	          	           	             	                                      	 1.09129   0.19840  -1.44540   0.15571  
      	     	          	           	          	           	             	                                      	 0.13385   0.56125   0.09292  -0.78802  
  #26	4   	-28870.42713	Yes        	4        	0.830    	0.198    	 0.31722   0.19886   0.18065   0.30327	-0.86774   0.12627   0.62320   0.11827  
      	     	          	           	          	           	             	                                      	 0.20143  -1.15160   0.20301   0.74716  
      	     	          	           	          	           	             	                                      	 1.09437   0.22348  -1.51594   0.19808  
      	     	          	           	          	           	             	                                      	 0.12371   0.48992   0.11799  -0.73162  
  #27	4   	-28729.44225	Yes        	4        	0.802    	0.198    	 0.31711   0.20204   0.18608   0.29477	-0.83871   0.13178   0.60602   0.10091  
      	     	          	           	          	           	             	                                      	 0.20683  -1.17413   0.23204   0.73526  
      	     	          	           	          	           	             	                                      	 1.03275   0.25195  -1.49217   0.20747  
      	     	          	           	          	           	             	                                      	 0.10855   0.50395   0.13097  -0.74347  
  #28	4   	-29007.30294	Yes        	4        	0.331    	0.207    	 0.31127   0.20387   0.18610   0.29876	-0.86998   0.15410   0.62449   0.09138  
      	     	          	           	          	           	             	                                      	 0.23529  -1.17733   0.21349   0.72855  
      	     	          	           	          	           	             	                                      	 1.04453   0.23387  -1.47803   0.19964  
      	     	          	           	          	           	             	                                      	 0.09521   0.49714   0.12435  -0.71670  
  #29	4   	-28828.66425	Yes        	4        	0.899    	0.199    	 0.31539   0.19474   0.18462   0.30524	-0.89717   0.10922   0.67726   0.11069  
      	     	          	           	          	           	             	                                      	 0.17689  -1.11842   0.21106   0.73047  
      	     	          	           	          	           	             	                                      	 1.15698   0.22262  -1.56204   0.18244  
      	     	          	           	          	           	             	                                      	 0.11437   0.46603   0.11035  -0.69075  
  #30	4   	-28953.85546	Yes        	4        	0.286    	0.183    	 0.31214   0.20065   0.18776   0.29946	-0.82982   0.10864   0.59678   0.12440  
      	     	          	           	          	           	             	                                      	 0.16901  -1.21797   0.18955   0.85942  
      	     	          	           	          	           	             	                                      	 0.99213   0.20256  -1.35720   0.16251  
      	     	          	           	          	           	             	                                      	 0.12966   0.57583   0.10189  -0.80738  
  #31	4   	-28843.00251	Yes        	4        	0.721    	0.198    	 0.31531   0.19600   0.18551   0.30318	-0.93315   0.13595   0.70842   0.08879  
      	     	          	           	          	           	             	                                      	 0.21871  -1.05454   0.16387   0.67197  
      	     	          	           	          	           	             	                                      	 1.20410   0.17313  -1.60334   0.22611  
      	     	          	           	          	           	             	                                      	 0.09234   0.43440   0.13835  -0.66509  
  #32	4   	-28676.98388	Yes        	4        	0.361    	0.188    	 0.32100   0.19540   0.18009   0.30351	-0.87774   0.08254   0.66321   0.13199  
      	     	          	           	          	           	             	                                      	 0.13559  -1.07834   0.22238   0.72037  
      	     	          	           	          	           	             	                                      	 1.18212   0.24128  -1.61237   0.18896  
      	     	          	           	          	           	             	                                      	 0.13960   0.46378   0.11212  -0.71551  
  #33	4   	-28905.50249	Yes        	4        	0.759    	0.198    	 0.31675   0.20309   0.18239   0.29777	-0.79926   0.08978   0.59690   0.11258  
      	     	          	           	          	           	             	                                      	 0.14003  -1.19258   0.21751   0.83504  
      	     	          	           	          	           	             	                                      	 1.03661   0.24219  -1.46015   0.18134  
      	     	          	           	          	           	             	                                      	 0.11975   0.56952   0.11107  -0.80034  
  #34	4   	-28674.56842	Yes        	4        	0.351    	0.189    	 0.31188   0.20032   0.18530   0.30250	-0.79233   0.09810   0.58361   0.11062  
      	     	          	           	          	           	             	                                      	 0.15273  -1.23144   0.25073   0.82798  
      	     	          	           	          	           	             	                                      	 0.98231   0.27106  -1.45196   0.19858  
      	     	          	           	          	           	             	                                      	 0.11405   0.54831   0.12164  -0.78400  
  #35	4   	-28762.52131	Yes        	4        	0.386    	0.190    	 0.31723   0.19864   0.18205   0.30208	-0.79175   0.10372   0.59304   0.09498  
      	     	          	           	          	           	             	                                      	 0.16564  -1.19397   0.26469   0.76364  
      	     	          	           	          	           	             	                                      	 1.03341   0.28883  -1.56704   0.24480  
      	     	          	           	          	           	             	                                      	 0.09974   0.50215   0.14753  -0.74942  
  #36	4   	-28904.53979	Yes        	4        	0.491    	0.192    	 0.31606   0.19751   0.18628   0.30015	-0.82528   0.14151   0.59668   0.08708  
      	     	          	           	          	           	             	                                      	 0.22646  -1.20189   0.23663   0.73880  
      	     	          	           	          	           	             	                                      	 1.01239   0.25089  -1.51294   0.24966  
      	     	          	           	          	           	             	                                      	 0.09170   0.48615   0.15495  -0.73279  
  #37	4   	-28817.50474	Yes        	4        	0.627    	0.196    	 0.31500   0.19760   0.18579   0.30161	-0.85587   0.13504   0.61247   0.10836  
      	     	          	           	          	           	             	                                      	 0.21527  -1.19644   0.20706   0.77410  
      	     	          	           	          	           	             	                                      	 1.03843   0.22023  -1.45525   0.19660  
      	     	          	           	          	           	             	                                      	 0.11317   0.50714   0.12110  -0.74141  
  #38	4   	-28737.23332	Yes        	4        	1.022    	0.200    	 0.31545   0.20006   0.18836   0.29613	-0.81923   0.09547   0.58322   0.14054  
      	     	          	           	          	           	             	                                      	 0.15053  -1.16158   0.23009   0.78097  
      	     	          	           	          	           	             	                                      	 0.97673   0.24439  -1.42977   0.20865  
      	     	          	           	          	           	             	                                      	 0.14971   0.52762   0.13271  -0.81004  
  #39	4   	-28979.95147	Yes        	4        	0.808    	0.198    	 0.31820   0.19862   0.18255   0.30063	-0.84858   0.08934   0.61569   0.14356  
      	     	          	           	          	           	             	                                      	 0.14312  -1.13163   0.16660   0.82191  
      	     	          	           	          	           	             	                                      	 1.07317   0.18126  -1.43872   0.18429  
      	     	          	           	          	           	             	                                      	 0.15195   0.54303   0.11191  -0.80689  
  #40	4   	-28611.97966	Yes        	4        	0.714    	0.197    	 0.31822   0.19842   0.18267   0.30069	-0.87468   0.13914   0.60759   0.12796  
      	     	          	           	          	           	             	                                      	 0.22314  -1.17397   0.21560   0.73523  
      	     	          	           	          	           	             	                                      	 1.05846   0.23419  -1.47329   0.18064  
      	     	          	           	          	           	             	                                      	 0.13541   0.48515   0.10974  -0.73030  
  #41	4   	-28935.10166	Yes        	4        	0.534    	0.193    	 0.31720   0.20275   0.17956   0.30049	-0.83873   0.12258   0.60543   0.11072  
      	     	          	           	          	           	             	                                      	 0.19178  -1.19496   0.22517   0.77801  
      	     	          	           	          	           	             	                                      	 1.06951   0.25426  -1.49393   0.17016  
      	     	          	           	          	           	             	                                      	 0.11687   0.52497   0.10168  -0.74353  
  #42	4   	-28935.95588	Yes        	4        	0.543    	0.193    	 0.31377   0.19874   0.18374   0.30374	-0.82867   0.10857   0.60906   0.11103  
      	     	          	           	          	           	             	                                      	 0.17141  -1.22875   0.25995   0.79740  
      	     	          	           	          	           	             	                                      	 1.04007   0.28117  -1.48369   0.16245  
      	     	          	           	          	           	             	                                      	 0.11470   0.52175   0.09827  -0.73471  
  #43	4   	-28873.90384	Yes        	4        	0.526    	0.193    	 0.32708   0.19635   0.18382   0.29274	-0.77913   0.12624   0.55217   0.10072  
      	     	          	           	          	           	             	                                      	 0.21029  -1.23444   0.20837   0.81578  
      	     	          	           	          	           	             	                                      	 0.98251   0.22258  -1.44478   0.23969  
      	     	          	           	          	           	             	                                      	 0.11253   0.54718   0.15051  -0.81023  
  #44	4   	-28832.45753	Yes        	4        	0.477    	0.192    	 0.31499   0.19751   0.18107   0.30644	-0.77629   0.10480   0.54177   0.12972  
      	     	          	           	          	           	             	                                      	 0.16713  -1.25450   0.22750   0.85987  
      	     	          	           	          	           	             	                                      	 0.94246   0.24816  -1.41548   0.22486  
      	     	          	           	          	           	             	                                      	 0.13334   0.55421   0.13287  -0.82041  
  #45	4   	-28761.18498	Yes        	4        	0.389    	0.188    	 0.31468   0.19976   0.18130   0.30425	-0.84388   0.09605   0.60145   0.14638  
      	     	          	           	          	           	             	                                      	 0.15130  -1.14701   0.15461   0.84110  
      	     	          	           	          	           	             	                                      	 1.04391   0.17035  -1.41030   0.19604  
      	     	          	           	          	           	             	                                      	 0.15139   0.55223   0.11682  -0.82045  
