. Sequence file : [Hominid_MMP20.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-80585.83000	Yes        	4        	1.901    	0.185    	 0.28633   0.19988   0.19485   0.31894	-0.82022   0.12936   0.57190   0.11897  
      	     	          	           	          	           	             	                                      	 0.18531  -1.28599   0.19799   0.90270  
      	     	          	           	          	           	             	                                      	 0.84040   0.20309  -1.27515   0.23166  
      	     	          	           	          	           	             	                                      	 0.10681   0.56573   0.14153  -0.81406  
  #2	4   	-80634.63088	Yes        	4        	4.242    	0.197    	 0.28428   0.19537   0.20106   0.31928	-0.84082   0.13657   0.59309   0.11116  
      	     	          	           	          	           	             	                                      	 0.19872  -1.29185   0.19042   0.90271  
      	     	          	           	          	           	             	                                      	 0.83855   0.18503  -1.25935   0.23577  
      	     	          	           	          	           	             	                                      	 0.09897   0.55238   0.14848  -0.79982  
  #3	4   	-80449.55422	Yes        	4        	1.180    	0.202    	 0.28222   0.19915   0.19991   0.31871	-0.82569   0.12876   0.57899   0.11795  
      	     	          	           	          	           	             	                                      	 0.18246  -1.29757   0.22445   0.89066  
      	     	          	           	          	           	             	                                      	 0.81736   0.22360  -1.26553   0.22458  
      	     	          	           	          	           	             	                                      	 0.10445   0.55654   0.14087  -0.80185  
  #4	4   	-80304.55313	Yes        	4        	1.126    	0.201    	 0.28329   0.19832   0.20055   0.31784	-0.79755   0.13266   0.54990   0.11499  
      	     	          	           	          	           	             	                                      	 0.18950  -1.34253   0.21037   0.94267  
      	     	          	           	          	           	             	                                      	 0.77675   0.20803  -1.21110   0.22631  
      	     	          	           	          	           	             	                                      	 0.10249   0.58821   0.14280  -0.83350  
  #5	4   	-80748.44896	Yes        	4        	1.275    	0.202    	 0.28312   0.19737   0.19806   0.32145	-0.79602   0.12979   0.56088   0.10535  
      	     	          	           	          	           	             	                                      	 0.18618  -1.35179   0.20837   0.95724  
      	     	          	           	          	           	             	                                      	 0.80174   0.20765  -1.23443   0.22505  
      	     	          	           	          	           	             	                                      	 0.09279   0.58775   0.13866  -0.81921  
  #6	4   	-80520.41535	Yes        	4        	1.488    	0.202    	 0.28379   0.19923   0.19868   0.31830	-0.79026   0.12117   0.57064   0.09844  
      	     	          	           	          	           	             	                                      	 0.17260  -1.30741   0.19828   0.93653  
      	     	          	           	          	           	             	                                      	 0.81509   0.19883  -1.26379   0.24987  
      	     	          	           	          	           	             	                                      	 0.08777   0.58619   0.15597  -0.82993  
  #7	4   	-80493.02558	Yes        	4        	1.163    	0.202    	 0.28332   0.20055   0.19808   0.31806	-0.84936   0.13908   0.58560   0.12468  
      	     	          	           	          	           	             	                                      	 0.19648  -1.29271   0.18443   0.91180  
      	     	          	           	          	           	             	                                      	 0.83759   0.18673  -1.22382   0.19950  
      	     	          	           	          	           	             	                                      	 0.11106   0.57492   0.12424  -0.81023  
  #8	4   	-81022.40589	Yes        	4        	1.315    	0.203    	 0.28358   0.19692   0.20002   0.31948	-0.83275   0.13320   0.56164   0.13791  
      	     	          	           	          	           	             	                                      	 0.19182  -1.29845   0.19609   0.91054  
      	     	          	           	          	           	             	                                      	 0.79625   0.19305  -1.21895   0.22965  
      	     	          	           	          	           	             	                                      	 0.12241   0.56123   0.14378  -0.82742  
  #9	4   	-80338.10641	Yes        	4        	0.690    	0.200    	 0.28256   0.19611   0.20008   0.32125	-0.82736   0.13137   0.58366   0.11234  
      	     	          	           	          	           	             	                                      	 0.18927  -1.30436   0.21542   0.89967  
      	     	          	           	          	           	             	                                      	 0.82426   0.21115  -1.27303   0.23762  
      	     	          	           	          	           	             	                                      	 0.09880   0.54921   0.14799  -0.79600  
  #10	4   	-80476.09651	Yes        	4        	0.843    	0.199    	 0.28276   0.19661   0.20044   0.32018	-0.84770   0.12508   0.60700   0.11562  
      	     	          	           	          	           	             	                                      	 0.17988  -1.28992   0.19870   0.91134  
      	     	          	           	          	           	             	                                      	 0.85629   0.19490  -1.26100   0.20980  
      	     	          	           	          	           	             	                                      	 0.10211   0.55963   0.13134  -0.79308  
  #11	4   	-80278.76062	Yes        	4        	1.574    	0.204    	 0.28256   0.19663   0.19663   0.32418	-0.81111   0.13227   0.54956   0.12929  
      	     	          	           	          	           	             	                                      	 0.19007  -1.34682   0.20916   0.94759  
      	     	          	           	          	           	             	                                      	 0.78970   0.20915  -1.21938   0.22052  
      	     	          	           	          	           	             	                                      	 0.11269   0.57475   0.13376  -0.82121  
  #12	4   	-80303.55070	Yes        	4        	1.020    	0.200    	 0.28093   0.20233   0.19712   0.31962	-0.81507   0.12975   0.56898   0.11634  
      	     	          	           	          	           	             	                                      	 0.18015  -1.32429   0.21537   0.92876  
      	     	          	           	          	           	             	                                      	 0.81089   0.22106  -1.23250   0.20054  
      	     	          	           	          	           	             	                                      	 0.10226   0.58793   0.12368  -0.81387  
  #13	4   	-80393.44801	Yes        	4        	1.131    	0.201    	 0.28089   0.19901   0.19665   0.32345	-0.82777   0.12648   0.57598   0.12531  
      	     	          	           	          	           	             	                                      	 0.17851  -1.29241   0.18530   0.92859  
      	     	          	           	          	           	             	                                      	 0.82274   0.18753  -1.24321   0.23294  
      	     	          	           	          	           	             	                                      	 0.10882   0.57135   0.14162  -0.82179  
  #14	4   	-80657.44934	Yes        	4        	0.784    	0.200    	 0.28463   0.19691   0.19794   0.32052	-0.79872   0.11563   0.57392   0.10917  
      	     	          	           	          	           	             	                                      	 0.16713  -1.29994   0.18289   0.94992  
      	     	          	           	          	           	             	                                      	 0.82529   0.18194  -1.25780   0.25057  
      	     	          	           	          	           	             	                                      	 0.09694   0.58359   0.15474  -0.83527  
  #15	4   	-81060.20780	Yes        	4        	0.930    	0.199    	 0.28294   0.19806   0.19932   0.31969	-0.80579   0.13932   0.54286   0.12361  
      	     	          	           	          	           	             	                                      	 0.19903  -1.33763   0.19445   0.94415  
      	     	          	           	          	           	             	                                      	 0.77059   0.19322  -1.19713   0.23332  
      	     	          	           	          	           	             	                                      	 0.10940   0.58493   0.14547  -0.83980  
  #16	4   	-80220.31702	Yes        	4        	1.118    	0.201    	 0.28492   0.19409   0.19925   0.32174	-0.82534   0.14272   0.56970   0.11293  
      	     	          	           	          	           	             	                                      	 0.20950  -1.37821   0.22580   0.94290  
      	     	          	           	          	           	             	                                      	 0.81464   0.21996  -1.22536   0.19076  
      	     	          	           	          	           	             	                                      	 0.10000   0.56881   0.11813  -0.78695  
  #17	4   	-80118.32355	Yes        	4        	1.305    	0.203    	 0.28200   0.19936   0.19653   0.32211	-0.82394   0.13064   0.58074   0.11256  
      	     	          	           	          	           	             	                                      	 0.18478  -1.32515   0.19445   0.94591  
      	     	          	           	          	           	             	                                      	 0.83328   0.19725  -1.23563   0.20509  
      	     	          	           	          	           	             	                                      	 0.09854   0.58545   0.12513  -0.80913  
  #18	4   	-80303.09359	Yes        	4        	1.491    	0.204    	 0.28637   0.19595   0.19766   0.32002	-0.81119   0.13347   0.57179   0.10593  
      	     	          	           	          	           	             	                                      	 0.19506  -1.32569   0.19065   0.93999  
      	     	          	           	          	           	             	                                      	 0.82842   0.18900  -1.25089   0.23348  
      	     	          	           	          	           	             	                                      	 0.09479   0.57557   0.14421  -0.81457  
  #19	4   	-80653.06997	Yes        	4        	0.885    	0.200    	 0.27949   0.19849   0.19846   0.32356	-0.79770   0.12533   0.53761   0.13476  
      	     	          	           	          	           	             	                                      	 0.17647  -1.35420   0.23507   0.94265  
      	     	          	           	          	           	             	                                      	 0.75709   0.23510  -1.21030   0.21810  
      	     	          	           	          	           	             	                                      	 0.11640   0.57829   0.13378  -0.82847  
  #20	4   	-81009.08552	Yes        	4        	0.525    	0.179    	 0.28227   0.19793   0.19980   0.32001	-0.82319   0.12847   0.58128   0.11344  
      	     	          	           	          	           	             	                                      	 0.18321  -1.33669   0.23353   0.91996  
      	     	          	           	          	           	             	                                      	 0.82121   0.23134  -1.24942   0.19687  
      	     	          	           	          	           	             	                                      	 0.10006   0.56900   0.12292  -0.79198  
  #21	4   	-81177.43822	Yes        	4        	0.852    	0.199    	 0.28799   0.20003   0.19692   0.31506	-0.84758   0.12812   0.58659   0.13288  
      	     	          	           	          	           	             	                                      	 0.18446  -1.25499   0.18012   0.89041  
      	     	          	           	          	           	             	                                      	 0.85789   0.18297  -1.25293   0.21207  
      	     	          	           	          	           	             	                                      	 0.12146   0.56533   0.13255  -0.81934  
  #22	4   	-80568.74780	Yes        	4        	1.452    	0.201    	 0.28739   0.19613   0.19936   0.31711	-0.82137   0.11549   0.58835   0.11753  
      	     	          	           	          	           	             	                                      	 0.16923  -1.29915   0.17918   0.95074  
      	     	          	           	          	           	             	                                      	 0.84814   0.17628  -1.23675   0.21233  
      	     	          	           	          	           	             	                                      	 0.10651   0.58803   0.13348  -0.82803  
  #23	4   	-81215.44924	Yes        	4        	1.321    	0.203    	 0.28495   0.19699   0.19860   0.31947	-0.84271   0.13788   0.58503   0.11980  
      	     	          	           	          	           	             	                                      	 0.19944  -1.30194   0.17641   0.92609  
      	     	          	           	          	           	             	                                      	 0.83941   0.17498  -1.22936   0.21497  
      	     	          	           	          	           	             	                                      	 0.10685   0.57104   0.13363  -0.81153  
  #24	4   	-81268.12859	Yes        	4        	2.048    	0.186    	 0.28188   0.20200   0.19946   0.31666	-0.79934   0.13149   0.54926   0.11859  
      	     	          	           	          	           	             	                                      	 0.18349  -1.31189   0.20943   0.91897  
      	     	          	           	          	           	             	                                      	 0.77624   0.21209  -1.22271   0.23438  
      	     	          	           	          	           	             	                                      	 0.10557   0.58620   0.14763  -0.83939  
  #25	4   	-80132.24518	Yes        	4        	0.997    	0.200    	 0.28219   0.19692   0.19878   0.32212	-0.78838   0.10622   0.56879   0.11337  
      	     	          	           	          	           	             	                                      	 0.15222  -1.31823   0.22798   0.93803  
      	     	          	           	          	           	             	                                      	 0.80746   0.22585  -1.27440   0.24109  
