. Sequence file : [Hominid_ODAM.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	4   	-14265.74237	Yes        	4        	0.867    	0.199    	 0.34045   0.17547   0.15603   0.32805	-0.64244   0.15425   0.40365   0.08453  
      	     	          	           	          	           	             	                                      	 0.29929  -1.57290   0.24270   1.03091  
      	     	          	           	          	           	             	                                      	 0.88075   0.27293  -1.52417   0.37049  
      	     	          	           	          	           	             	                                      	 0.08773   0.55141   0.17621  -0.81535  
  #2	4   	-14108.56620	Yes        	4        	0.855    	0.199    	 0.33407   0.17147   0.15346   0.34100	-0.67462   0.11043   0.44400   0.12019  
      	     	          	           	          	           	             	                                      	 0.21514  -1.61297   0.26647   1.13136  
      	     	          	           	          	           	             	                                      	 0.96655   0.29774  -1.49199   0.22770  
      	     	          	           	          	           	             	                                      	 0.11775   0.56891   0.10247  -0.78913  
  #3	4   	-14327.60823	Yes        	4        	0.314    	0.207    	 0.33124   0.17209   0.15589   0.34078	-0.70951   0.22446   0.40999   0.07506  
      	     	          	           	          	           	             	                                      	 0.43202  -1.69582   0.17602   1.08778  
      	     	          	           	          	           	             	                                      	 0.87116   0.19432  -1.37014   0.30466  
      	     	          	           	          	           	             	                                      	 0.07296   0.54933   0.13936  -0.76165  
  #4	4   	-14309.81985	Yes        	4        	0.598    	0.194    	 0.34536   0.16912   0.15487   0.33064	-0.72529   0.16809   0.43074   0.12646  
      	     	          	           	          	           	             	                                      	 0.34326  -1.54579   0.18607   1.01646  
      	     	          	           	          	           	             	                                      	 0.96052   0.20319  -1.46164   0.29793  
      	     	          	           	          	           	             	                                      	 0.13208   0.51991   0.13955  -0.79154  
  #5	4   	-14279.87697	Yes        	4        	0.417    	0.188    	 0.33507   0.16735   0.15935   0.33823	-0.69715   0.15009   0.42020   0.12687  
      	     	          	           	          	           	             	                                      	 0.30051  -1.60944   0.19830   1.11064  
      	     	          	           	          	           	             	                                      	 0.88355   0.20826  -1.38897   0.29716  
      	     	          	           	          	           	             	                                      	 0.12568   0.54953   0.14000  -0.81521  
  #6	4   	-14244.34572	Yes        	4        	0.932    	0.199    	 0.33623   0.17177   0.16204   0.32996	-0.67087   0.19088   0.39551   0.08448  
      	     	          	           	          	           	             	                                      	 0.37365  -1.69993   0.27830   1.04798  
      	     	          	           	          	           	             	                                      	 0.82069   0.29502  -1.40339   0.28768  
      	     	          	           	          	           	             	                                      	 0.08609   0.54556   0.14127  -0.77292  
  #7	4   	-14292.78316	Yes        	4        	0.892    	0.199    	 0.33860   0.16848   0.15764   0.33528	-0.69667   0.17289   0.42023   0.10355  
      	     	          	           	          	           	             	                                      	 0.34745  -1.65320   0.23317   1.07258  
      	     	          	           	          	           	             	                                      	 0.90266   0.24921  -1.43171   0.27983  
      	     	          	           	          	           	             	                                      	 0.10457   0.53898   0.13157  -0.77512  
  #8	4   	-14271.96604	Yes        	4        	0.741    	0.197    	 0.33440   0.16800   0.16353   0.33407	-0.75823   0.17674   0.46720   0.11429  
      	     	          	           	          	           	             	                                      	 0.35180  -1.55772   0.20920   0.99672  
      	     	          	           	          	           	             	                                      	 0.95539   0.21492  -1.43849   0.26818  
      	     	          	           	          	           	             	                                      	 0.11440   0.50123   0.13128  -0.74691  
  #9	4   	-14263.94396	Yes        	4        	0.361    	0.210    	 0.33785   0.17532   0.15368   0.33315	-0.73958   0.18867   0.45401   0.09690  
      	     	          	           	          	           	             	                                      	 0.36359  -1.50341   0.18313   0.95670  
      	     	          	           	          	           	             	                                      	 0.99807   0.20890  -1.53428   0.32731  
      	     	          	           	          	           	             	                                      	 0.09827   0.50345   0.15099  -0.75272  
  #10	4   	-14383.93138	Yes        	4        	0.606    	0.194    	 0.33690   0.17031   0.15650   0.33629	-0.78871   0.15759   0.50703   0.12408  
      	     	          	           	          	           	             	                                      	 0.31175  -1.48216   0.25150   0.91891  
      	     	          	           	          	           	             	                                      	 1.09147   0.27368  -1.58850   0.22335  
      	     	          	           	          	           	             	                                      	 0.12431   0.46536   0.10394  -0.69362  
  #11	4   	-14273.23672	Yes        	4        	0.603    	0.195    	 0.33242   0.17136   0.15412   0.34210	-0.68617   0.18268   0.36558   0.13791  
      	     	          	           	          	           	             	                                      	 0.35438  -1.71323   0.27072   1.08813  
      	     	          	           	          	           	             	                                      	 0.78854   0.30100  -1.34291   0.25337  
      	     	          	           	          	           	             	                                      	 0.13401   0.54505   0.11415  -0.79321  
  #12	4   	-14373.65474	Yes        	4        	0.329    	0.208    	 0.34043   0.16698   0.15962   0.33297	-0.72507   0.15723   0.44542   0.12241  
      	     	          	           	          	           	             	                                      	 0.32056  -1.46526   0.15138   0.99331  
      	     	          	           	          	           	             	                                      	 0.94997   0.15836  -1.49691   0.38858  
      	     	          	           	          	           	             	                                      	 0.12515   0.49813   0.18628  -0.80956  
  #13	4   	-14006.41913	Yes        	4        	0.405    	0.188    	 0.33735   0.16908   0.15200   0.34157	-0.70928   0.19798   0.42567   0.08563  
      	     	          	           	          	           	             	                                      	 0.39501  -1.72488   0.19206   1.13781  
      	     	          	           	          	           	             	                                      	 0.94470   0.21364  -1.39434   0.23600  
      	     	          	           	          	           	             	                                      	 0.08457   0.56322   0.10502  -0.75282  
  #14	4   	-14160.25156	Yes        	4        	0.778    	0.197    	 0.33548   0.17169   0.15208   0.34075	-0.72280   0.19749   0.40412   0.12120  
      	     	          	           	          	           	             	                                      	 0.38589  -1.66695   0.23635   1.04471  
      	     	          	           	          	           	             	                                      	 0.89145   0.26683  -1.40532   0.24704  
      	     	          	           	          	           	             	                                      	 0.11932   0.52639   0.11026  -0.75597  
  #15	4   	-14312.46785	Yes        	4        	0.661    	0.195    	 0.34451   0.16809   0.15528   0.33212	-0.68879   0.17956   0.41264   0.09659  
      	     	          	           	          	           	             	                                      	 0.36803  -1.69375   0.24778   1.07794  
      	     	          	           	          	           	             	                                      	 0.91551   0.26822  -1.44045   0.25673  
      	     	          	           	          	           	             	                                      	 0.10019   0.54556   0.12003  -0.76578  
  #16	4   	-14309.07818	Yes        	4        	0.754    	0.198    	 0.33576   0.17200   0.15503   0.33721	-0.70040   0.17264   0.40565   0.12211  
      	     	          	           	          	           	             	                                      	 0.33701  -1.52554   0.21503   0.97350  
      	     	          	           	          	           	             	                                      	 0.87856   0.23857  -1.50677   0.38964  
      	     	          	           	          	           	             	                                      	 0.12158   0.49656   0.17913  -0.79727  
  #17	4   	-14161.78925	Yes        	4        	0.323    	0.205    	 0.33528   0.17119   0.15743   0.33610	-0.69777   0.15453   0.43157   0.11167  
      	     	          	           	          	           	             	                                      	 0.30266  -1.50453   0.19927   1.00259  
      	     	          	           	          	           	             	                                      	 0.91912   0.21669  -1.51887   0.38306  
      	     	          	           	          	           	             	                                      	 0.11140   0.51065   0.17943  -0.80148  
  #18	4   	-14176.94174	Yes        	4        	0.422    	0.211    	 0.33488   0.16669   0.16473   0.33370	-0.68584   0.19482   0.35431   0.13671  
      	     	          	           	          	           	             	                                      	 0.39139  -1.75068   0.20633   1.15297  
      	     	          	           	          	           	             	                                      	 0.72026   0.20878  -1.19459   0.26555  
      	     	          	           	          	           	             	                                      	 0.13720   0.57594   0.13109  -0.84423  
  #19	4   	-14478.09007	Yes        	4        	0.487    	0.190    	 0.33898   0.16927   0.15756   0.33418	-0.72477   0.17987   0.43352   0.11137  
      	     	          	           	          	           	             	                                      	 0.36020  -1.58236   0.18836   1.03379  
      	     	          	           	          	           	             	                                      	 0.93273   0.20237  -1.43617   0.30107  
      	     	          	           	          	           	             	                                      	 0.11297   0.52365   0.14194  -0.77856  
