Number_of_Proteins	Mean_Number_of_Variants	Median_Number_of_Variants	Minimum_Number_of_Variants	Maximum_Number_of_Variants
1.0	1.0	0	10
2.0	2.0	0	12
4.0	4.0	0	16
5.0	5.0	0	20
7.0	7.0	0	21
9.0	9.0	0	22
10.0	10.0	1	23
11.0	11.0	1	27
13.0	13.0	2	29
15.0	15.0	3	31
16.0	16.0	3	30
17.0	17.0	4	33
19.0	19.0	5	32
20.0	20.0	7	36
23.0	23.0	6	39
23.0	23.0	9	42
25.0	25.0	9	39
27.0	27.0	13	42
28.0	28.0	14	42
29.0	29.0	15	46
31.0	31.0	17	47
33.0	33.0	17	46
34.0	34.0	20	47
35.0	35.0	21	50
37.0	37.0	22	51
38.0	38.0	25	50
40.0	40.0	28	51
41.0	41.0	31	54
